DOI,Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,ConvNR,,1,Beta,17,,2.864469548,,2.733197265,2.979562032,,,,,,
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,ConvNR,,1,Delta,17,,3.145581722,,2.97565694,3.271393146,,,,,,
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,ConvNR,,1,D614,26,,2.7355989,,2.551535385,2.848989206,,,,,,
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,ConvNR,,1,Beta,26,,2.323973605,,2.17912073,2.484029211,,,,,,
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,ConvNR,,1,Delta,26,,2.153814864,,1.917558021,2.26768788,,,,,,
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Pf_Pf28,,1,D614,25,60,2.99484485,,2.921395114,3.064102171,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Pf_Pf28,,1,Beta,25,60,2.530174075,,2.305995883,2.653241466,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Pf_Pf28,,1,Delta,25,60,2.581710782,,2.458970052,2.692617819,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305 ,PZ6_PC,Obs,Pf_Pf21_Pf251,,1.301029996,USA-WA1/2022,22,30,3.125481266,,2.987666265,3.263636069,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305 ,PZ6_PC,Obs,Pf_Pf21_Pf251,,1.301029996,Omicron,22,30,2.59439255,,2.424881637,2.762678564,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305 ,PZ6_PC,Obs,Pf_Pf21_Pf251,,1.301029996,Omicron,22,30,2.474216264,,2.318063335,2.632457292,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,Pf_Pf21_Pf251,,1.301029996,Omicron,22,30,2.498310554,,2.324282455,2.673941999,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,Pf_Pf21_Pf251,,1.301029996,Omicron,22,30,2.334453751,,2.170261715,2.501059262,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,Pf_Pf21_Pf251,,1.301029996,Omicron,22,30,2.012837225,,1.832508913,2.195899652,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,Pf_Pf21_Pf251,,1.301029996,Deltacron,22,30,2.478566496,,2.320146286,2.636487896,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,ConvOmicron,,1.301029996,USA-WA1/2022,20,25,1.176091259,,1,1.301029996,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,ConvOmicron,,1.301029996,Omicron,20,25,2.633468456,,2.334453751,2.931966115,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,ConvOmicron,,1.301029996,Omicron,20,25,2.041392685,,1.770852012,2.31386722,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,ConvOmicron,,1.301029996,Omicron,20,25,2.037426498,,1.740362689,2.338456494,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,ConvOmicron,,1.301029996,Omicron,20,25,2.008600172,,1.69019608,2.33243846,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,ConvOmicron,,1.301029996,Omicron,20,25,1.397940009,,1.146128036,1.62324929,,,,,,N
http://doi.org/10.1080/22221751.2022.2099305,PZ6_PC,Obs,ConvOmicron,,1.301029996,Deltacron,20,25,2.45331834,,2.136720567,2.769377326,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004 ,PZ7_PC,Obs,Pf,,1.477121255,D614G,26,21,1.949390007,,1.556061159,2.15347949,,,,,,Y
https://doi.org/10.1016/j.chom.2021.12.004 ,PZ7_PC,Obs,Pf,,1.477121255,D614G,26,83,2.201397124,,1.99056083,2.348985957,,,,,,Y
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,D614G,26,21,3.155943018,,3.022407749,3.223347949,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,D614G,26,112,2.139879086,,2.001387523,2.245808677,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,Alpha,26,21,3.2999429,,,,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,Beta,26,21,2.629409599,,,,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,Delta,26,21,3.067442843,,2.805609588,3.237578923,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,Gamma,26,21,3.164650216,,,,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,Iota,26,21,2.589949601,,,,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf112,,1.477121255,SARS-COV-1,26,21,2.799340549,,2.546431608,2.961121969,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf30,,1.477121255,D614G,12,21,2.056904851,,1.907088745,2.166282067,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf30,,1.477121255,Alpha,12,21,1.944482672,,1.794766798,2.053961507,,,,,,Y
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf30,,1.477121255,Beta,12,21,1.799340549,,1.691081492,1.889805752,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf30,,1.477121255,Delta,12,21,2.359835482,,2.097187873,2.511869998,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf30,,1.477121255,Gamma,12,21,2.475671188,,2.295874845,2.606907789,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf30,,1.477121255,Iota,12,21,2.204119983,,2.062619584,2.321805484,,,,,,N
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,Pf_Pf30,,1.477121255,SARS-COV-1,12,21,1.531478917,,,,,,,,,Y
https://doi.org/10.1016/j.chom.2021.12.004,PZ7_PC,Obs,ConvNR,,1.477121255,,27,281,1.991226076,,1.898231385,2.088313316,,,,,,N
https://doi.org/10.1111/all.15189,PZ8_PC,Obs,Pf_Pf21,,1.301029996,Alpha,21,,2.497551599,,2.312367795,2.674181163,,,,,,N
https://doi.org/10.1111/all.15189,PZ8_PC,Obs,Pf_Pf21,,1.301029996,Beta,21,,2.206960729,,2.095831625,2.503245771,,,,,,N
https://doi.org/10.1111/all.15189,PZ8_PC,Obs,ConvNR,,1.301029996,Alpha,11,,2.514640711,,2.16708092,2.765340662,,,,,,N
https://doi.org/10.1111/all.15189,PZ8_PC,Obs,ConvNR,,1.301029996,Beta,11,,1.904985881,,1.665674781,2.232589563,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,Pf_Pf,,1.301029996,D614G,9,90,2.933993164,476,2.537491677,3.137499696,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,Pf_Pf,,1.301029996,Beta,9,90,2.235528447,123,1.612465964,2.487491892,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,Pf_Pf,,1.301029996,Delta,9,90,2.511883361,142,2.23749347,2.674998844,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,Pf_Pf,,1.301029996,Omicron,9,90,1.397940009,36,0,1.787460475,,,,,,Y
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,ConvNR,,1.301029996,D614G,10,45,2.367355921,94,2.737494794,3.249997702,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,ConvNR,,1.301029996,Beta,10,45,1.812913357,49,1.374931554,2.637499736,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,ConvNR,,1.301029996,Delta,10,45,2.008600172,41,2.224998961,2.774998437,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103944,PZ9_PC,Obs,ConvNR,,1.301029996,Omicron,10,45,0.954242509,36,0,1.662474504,,,,,,Y
https://doi.org/10.2807/1560-7917.ES.2022.27.18.2200178,PZ10_PC,Obs,Conv_Pf,,1,WT,20,28,2.505149978,,2.505149978,2.505149978,,,,,,N
https://doi.org/10.2807/1560-7917.ES.2022.27.18.2200178,PZ10_PC,Obs,Conv_Pf,,1,Omicron,20,28,2.083860801,,1.929418926,2.238046103,,,,,,N
https://doi.org/10.2807/1560-7917.ES.2022.27.18.2200178,PZ10_PC,Obs,Conv_Pf,,1,Omicron,20,28,2.15896526,,2.053846427,2.263872677,,,,,,N
https://doi.org/10.2807/1560-7917.ES.2022.27.18.2200178,PZ10_PC,Obs,ConvWT,,1,WT,20,170,1.918030337,,1.763427994,2.072984745,,,,,,N
https://doi.org/10.2807/1560-7917.ES.2022.27.18.2200178,PZ10_PC,Obs,ConvWT,,1,Omicron,20,170,0.908485019,,0.740362689,1.08278537,,,,,,N
https://doi.org/10.2807/1560-7917.ES.2022.27.18.2200178,PZ10_PC,Obs,ConvWT,,1,Omicron,20,170,0.954242509,,0.826074803,1.086359831,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103972,PZ11_PC,Obs,Pf,,1,,15,20,2.668106238,,2.445930969,2.851350091,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103972,PZ11_PC,Obs,Pf_Pf21,,1,,15,19,3.923632533,,3.608107583,4.216216061,,,,,,N
https://doi.org/10.1016/j.ebiom.2022.103972,PZ11_PC,Obs,ConvNR,,1,,31,21,3.203277721,,2.97297074,3.324282455,,,,,,N
